type,min_rho,max_rho,theta,isOmini,isThrough,cost,x,y,alpha
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,33.49773987974013,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,33.49773987974013,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,33.49773987974013,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,33.49773987974013,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,33.49773987974013,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,33.49773987974013,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,33.49773987974013,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,33.49773987974013,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,33.49773987974013,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,33.49773987974013,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,33.49773987974013,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,33.49773987974013,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,33.49773987974013,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,33.49773987974013,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,33.49773987974013,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,33.49773987974013,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,33.49773987974013,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,33.49773987974013,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,33.49773987974013,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,33.49773987974013,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,33.49773987974013,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,33.49773987974013,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,33.49773987974013,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,33.49773987974013,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,11.94,33.49773987974013,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,11.94,33.49773987974013,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,37.98703139203344,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,37.98703139203344,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,37.98703139203344,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,11.94,37.98703139203344,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,37.98703139203344,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,37.98703139203344,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,37.98703139203344,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,11.94,37.98703139203344,4.71238898038469
